masa_A
t x y
0.0 7.286625075728637E-4 -0.01827377559578819
0.032066666666666695 0.04301788585567956 -0.016358633311851944
0.08000000000000006 0.0812847100494376 -0.014865742879441923
0.12803333333333336 0.11115652705290069 -0.01355295987185351
0.16006666666666666 0.13802055006184388 -0.0129766161124244
0.2081333333333334 0.159255215448308 -0.016216548565603617
0.24010000000000004 0.17327958026108137 -0.012220164928173738
0.2881 0.18468238144589644 -0.011303618255192827
0.33603333333333335 0.19143440868309658 -0.012838533753394443
0.36806666666666676 0.19377780639938624 -0.012452303386832564
0.41606666666666664 0.19006959464167084 -0.011859950078530579
0.44803333333333334 0.18366777628606812 -0.010989430858559524
0.49600000000000005 0.17090016105982753 -0.010927393856676626
0.5440999999999999 0.15683977476208977 -0.01324477605604757
0.5760333333333333 0.13431233830412848 -0.012384262804122304
0.6239666666666667 0.10779852417678293 -0.013625002841782086
0.6560666666666666 0.07726231089508895 -0.01528799473096809
0.7042 0.04298186437071516 -0.014679631873793064
0.7519666666666667 -6.001300488884809E-4 -0.01897419335898315
0.7839666666666667 -0.04194679120709566 -0.01784552016343466
0.8319000000000001 -0.09598902462161485 -0.02001281284212114
