masa_A
t x y
0.0 5.876988451516407E-4 -0.010286567230444882
0.04796666666666667 0.043282304364054225 -0.009864250753372689
0.0959666666666667 0.08257363986270172 -0.010055088324601974
0.12786666666666668 0.12140378456421175 -0.01185567614944108
0.17583333333333334 0.15849165292098055 -0.00936595265071849
0.20783333333333334 0.1908668934771156 -0.012596055245228638
0.25583333333333336 0.21702224282281535 -0.010355480797833216
0.30376666666666663 0.2480068429293445 -0.00949847874184992
0.33580000000000004 0.26991075527154784 -0.011367980134077416
0.38389999999999996 0.28807566482929636 -0.010373150943317394
0.4160666666666667 0.30590837565194207 -0.010359014826930052
0.46376666666666666 0.3207990072514698 -0.009348282505234284
0.4959666666666667 0.33467360548565683 -0.010095729659215541
0.5438000000000001 0.34149958268619984 -0.010053321310053515
0.5919000000000001 0.34608675245389586 -0.009420730101719482
0.6237666666666667 0.34971266630725195 -0.00963983990572348
0.6718666666666668 0.3504159380975227 -0.010046253251859816
0.7037666666666668 0.34323832500184415 -0.00988545492795373
0.7517333333333334 0.3354316547269286 -0.009595664542012966
0.7998333333333334 0.3269217126617421 -0.008899460809935866
0.8318333333333335 0.3138988154398932 -0.009113269570294624
0.8797333333333334 0.30052428232290895 -0.009123871657585075
0.9117666666666667 0.2861884932915846 -0.00998617475721364
0.9598666666666668 0.2630459037509395 -0.009042588988357803
1.0077333333333336 0.23962589292619274 -0.008173217830535595
1.0398000000000003 0.21359953564252754 -0.009784735098693847
1.0877000000000001 0.18450210707370984 -0.011028713340780899
1.1198 0.1571787611115052 -0.010014446989988324
1.1676666666666669 0.12118114073111097 -0.011023412297135687
1.2157 0.0822767814185672 -0.008945403188194784
1.2477333333333336 0.0440597907653586 -0.010548085383610933
1.2957000000000003 0.004674803495644975 -0.00889592678083903
1.3277333333333334 -0.040813452024308194 -0.008876489620806477
